#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)
1.000000e-07 2.830902e+13 1.042000e-03 1.609000e-13 0.000000e+00
1.000000e-07 2.997924e+13 1.265000e-03 1.795000e-13 0.000000e+00
1.000000e-07 3.175431e+13 1.412000e-03 1.808000e-13 0.000000e+00
1.000000e-07 3.363541e+13 1.051000e-03 9.649000e-14 0.000000e+00
1.000000e-07 3.563018e+13 6.787000e-04 4.831000e-14 0.000000e+00
1.000000e-07 3.774297e+13 3.151000e-04 2.393000e-14 0.000000e+00
1.000000e-07 3.997765e+13 1.399000e-04 5.113000e-14 0.000000e+00
1.000000e-07 4.234956e+13 1.100000e-04 1.021000e-13 0.000000e+00
1.000000e-07 4.485897e+13 1.089000e-04 1.612000e-13 0.000000e+00
1.000000e-07 4.751068e+13 1.082000e-04 2.321000e-13 0.000000e+00
1.000000e-07 5.032607e+13 9.993000e-05 4.208000e-13 3.340000e-07
1.000000e-07 5.331538e+13 9.844000e-05 5.775000e-13 3.750000e-07
1.000000e-07 5.646873e+13 9.845000e-05 7.788000e-13 4.200000e-07
1.000000e-07 5.981493e+13 9.983000e-05 1.037000e-12 4.710000e-07
1.000000e-07 6.335426e+13 1.024000e-04 1.364000e-12 5.290000e-07
1.000000e-07 6.711269e+13 1.057000e-04 1.781000e-12 5.940000e-07
1.000000e-07 7.109139e+13 1.098000e-04 2.308000e-12 6.660000e-07
1.000000e-07 7.530580e+13 1.195000e-04 2.128000e-12 5.270000e-07
1.000000e-07 7.977446e+13 1.237000e-04 2.721000e-12 5.930000e-07
1.000000e-07 8.449617e+13 1.282000e-04 3.469000e-12 6.670000e-07
1.000000e-07 8.949028e+13 1.328000e-04 4.411000e-12 7.500000e-07
1.000000e-07 9.481102e+13 1.369000e-04 5.602000e-12 8.440000e-07
1.000000e-07 1.004330e+14 1.415000e-04 7.108000e-12 9.480000e-07
1.000000e-07 1.063848e+14 1.466000e-04 9.010000e-12 1.070000e-06
1.000000e-07 1.126616e+14 1.521000e-04 1.141000e-11 1.200000e-06
1.000000e-07 1.193441e+14 1.581000e-04 1.443000e-11 1.340000e-06
1.000000e-07 1.264413e+14 1.646000e-04 1.824000e-11 1.510000e-06
1.000000e-07 1.338957e+14 1.715000e-04 2.304000e-11 1.700000e-06
1.000000e-07 1.418800e+14 1.789000e-04 2.908000e-11 1.900000e-06
1.000000e-07 1.502719e+14 1.868000e-04 3.669000e-11 2.140000e-06
1.000000e-07 1.591255e+14 1.951000e-04 4.628000e-11 2.400000e-06
1.000000e-07 1.686122e+14 2.041000e-04 5.837000e-11 2.690000e-06
1.000000e-07 1.785542e+14 2.140000e-04 7.357000e-11 3.020000e-06
1.000000e-07 1.891435e+14 2.249000e-04 9.266000e-11 3.390000e-06
1.000000e-07 2.003960e+14 2.363000e-04 1.167000e-10 3.800000e-06
1.000000e-07 2.121673e+14 2.482000e-04 1.470000e-10 4.270000e-06
1.000000e-07 2.247319e+14 2.607000e-04 1.851000e-10 4.790000e-06
1.000000e-07 2.381195e+14 2.740000e-04 2.331000e-10 5.370000e-06
1.000000e-07 2.521382e+14 2.889000e-04 2.936000e-10 6.030000e-06
1.000000e-07 2.671946e+14 3.048000e-04 3.697000e-10 6.770000e-06
1.000000e-07 2.830902e+14 3.216000e-04 4.655000e-10 7.590000e-06
1.000000e-07 2.997924e+14 3.394000e-04 5.860000e-10 8.520000e-06
1.000000e-07 3.175431e+14 3.585000e-04 7.376000e-10 9.560000e-06
1.000000e-07 3.363541e+14 3.786000e-04 9.285000e-10 1.070000e-05
1.000000e-07 3.563018e+14 3.997000e-04 1.169000e-09 1.200000e-05
1.000000e-07 3.774297e+14 4.220000e-04 1.473000e-09 1.350000e-05
1.000000e-07 3.997765e+14 4.453000e-04 1.856000e-09 1.520000e-05
1.000000e-07 4.234956e+14 4.699000e-04 2.339000e-09 1.700000e-05
1.000000e-07 4.485897e+14 4.960000e-04 2.948000e-09 1.910000e-05
1.000000e-07 4.751068e+14 5.237000e-04 3.717000e-09 2.140000e-05
1.000000e-07 5.032607e+14 5.530000e-04 4.691000e-09 2.410000e-05
