READ SERR 1
@dist_0.pco
!
3.78013402E-2 2.17599605E-4 0.786382973
3.82390581E-2 2.20119284E-4 0.791805625
3.86818461E-2 2.22668154E-4 0.797105312
3.91297601E-2 2.2524652E-4 0.802284122
3.95828635E-2 2.27854762E-4 0.807343543
4.0041212E-2 2.30493184E-4 0.812285423
4.05048653E-2 2.3316218E-4 0.817111671
4.09738906E-2 2.3586207E-4 0.821824312
4.14483435E-2 2.38593217E-4 0.826425374
4.1928295E-2 2.41356E-4 0.830916822
4.2413801E-2 2.44150782E-4 0.835300744
4.29049283E-2 2.46977899E-4 0.839579284
4.34017442E-2 2.49837758E-4 0.843754351
4.39043157E-2 2.52730766E-4 0.847828209
4.44127023E-2 2.55657244E-4 0.851802766
4.49269786E-2 2.58617598E-4 0.855680108
4.5447208E-2 2.61612266E-4 0.859462261
4.59734611E-2 2.64641596E-4 0.863151133
4.65058088E-2 2.67705997E-4 0.86674881
4.70443182E-2 2.70805875E-4 0.87025702
4.75890674E-2 2.73941667E-4 0.873677731
4.81401235E-2 2.77113752E-4 0.87701261
4.8697561E-2 2.80322594E-4 0.880263448
4.92614508E-2 2.83568574E-4 0.883431733
4.98318709E-2 2.86852155E-4 0.886519134
5.04088961E-2 2.90173746E-4 0.889526904
5.09926043E-2 2.93533783E-4 0.892456293
5.15830703E-2 2.96932732E-4 0.895308256
5.21803759E-2 3.00371059E-4 0.898083448
5.27845956E-2 3.038492E-4 0.900782168
5.33958115E-2 3.0736762E-4 0.903404117
5.40141053E-2 3.10926756E-4 0.905948102
5.46395592E-2 3.14527104E-4 0.908408582
5.52722551E-2 3.18169157E-4 0.910783172
5.59122786E-2 3.21853382E-4 0.91306591
5.65597117E-2 3.25580273E-4 0.915237308
5.72146438E-2 3.29350325E-4 0.917262375
5.78771569E-2 3.33164033E-4 0.9190588
5.85473441E-2 3.37021891E-4 0.920377791
5.9225291E-2 3.40924395E-4 0.919867694
5.99110872E-2 3.44872125E-4 0.935718298
6.06048256E-2 3.48865549E-4 0.943754196
6.13065958E-2 3.52905219E-4 0.93457979
6.20164908E-2 3.56991688E-4 0.934867203
6.27346113E-2 3.61125451E-4 0.935568392
6.34610429E-2 3.65307089E-4 0.938918591
6.41958863E-2 3.69537156E-4 0.942434788
6.49392381E-2 3.73816176E-4 0.943032682
6.56912029E-2 3.78144759E-4 0.943763554
6.64518699E-2 3.82523489E-4 0.945023835
6.72213435E-2 3.86952888E-4 0.946434975
6.7999728E-2 3.91433598E-4 0.947870195
6.87871277E-2 3.9596617E-4 0.949298918
6.9583647E-2 4.00551246E-4 0.950708926
7.038939E-2 4.05189407E-4 0.952094197
7.12044612E-2 4.09881293E-4 0.953451455
7.20289722E-2 4.14627488E-4 0.954779029
7.28630275E-2 4.19428659E-4 0.956076145
7.37067387E-2 4.24285419E-4 0.957342267
7.4560225E-2 4.29198408E-4 0.958577275
7.54235908E-2 4.34168294E-4 0.959781229
7.62969553E-2 4.39195719E-4 0.960954428
7.71804303E-2 4.44281352E-4 0.962097168
7.80741349E-2 4.4942589E-4 0.963209808
7.89781958E-2 4.54630004E-4 0.964292884
7.98927173E-2 4.59894363E-4 0.965346754
8.08178335E-2 4.65219695E-4 0.966371417
8.17536563E-2 4.70606697E-4 0.967367828
8.27003196E-2 4.7605607E-4 0.968337119
8.36579427E-2 4.81568539E-4 0.969279468
8.46266598E-2 4.87144833E-4 0.970203042
8.56065899E-2 4.92785708E-4 0.971099854
8.65978673E-2 4.98491863E-4 0.971962869
8.76006261E-2 5.04264142E-4 0.972801149
8.86149928E-2 5.10103244E-4 0.973615527
8.96411017E-2 5.16009983E-4 0.97440666
9.06791016E-2 5.21985115E-4 0.975175202
9.1729112E-2 5.28029399E-4 0.97592175
9.27912891E-2 5.34143706E-4 0.97664696
9.38657597E-2 5.40328794E-4 0.977349699
9.49526727E-2 5.46585477E-4 0.978032231
9.60521698E-2 5.52914629E-4 0.978696883
9.71644074E-2 5.59317123E-4 0.97934258
9.82895121E-2 5.65793656E-4 0.97996968
9.94276553E-2 5.72345278E-4 0.98057884
0.100578971 5.78972686E-4 0.981170416
0.101743624 5.85676928E-4 0.981745005
0.102921762 5.92458702E-4 0.982303023
0.104113534 5.99319057E-4 0.982843459
0.105319113 6.06258865E-4 0.983368158
0.106538653 6.13279E-4 0.983867347
