READ SERR 1
@nh_18.pco
!
0.101558864 1.55886367E-3 0
0.10472519 1.60746486E-3 0
0.107990235 1.65758119E-3 0
0.111357078 1.70926005E-3 0
0.114828892 1.76255021E-3 0
0.118408941 1.81750162E-3 0
0.122100607 1.87416642E-3 0
0.125907376 1.93259784E-3 0
0.129832819 1.99285103E-3 0
0.13388066 2.05498259E-3 0
0.138054684 2.11905129E-3 0
0.142358854 2.18511769E-3 0
0.146797225 2.2532437E-3 0
0.151373953 2.32349359E-3 0
0.156093389 2.39593373E-3 0
0.160959959 2.47063255E-3 0
0.165978238 2.54766014E-3 0
0.171152994 2.62708915E-3 0
0.176489085 2.70899478E-3 0
0.181991532 2.79345387E-3 0
0.187665522 2.88054603E-3 0
0.193516418 2.9703537E-3 0
0.199549735 3.06296116E-3 0
0.205771163 3.15845595E-3 0
0.212186545 3.25692794E-3 0
0.218801945 3.35847004E-3 0
0.225623593 3.46317794E-3 0
0.232657909 3.57115059E-3 0
0.239911556 3.68248927E-3 0
0.247391343 3.79729923E-3 0
0.255104333 3.91568849E-3 0
0.263057798 4.03776905E-3 0
0.271259218 4.16365592E-3 0
0.279716343 4.29346738E-3 0
0.288437128 4.42732591E-3 0
0.2974298 4.5653577E-3 0
0.306702852 4.70769312E-3 0
0.316265017 4.8544663E-3 0
0.326125294 5.00581507E-3 0
0.336293012 5.16188284E-3 0
0.346777707 5.32281632E-3 0
0.357589275 5.48876729E-3 0
0.368737936 5.65989222E-3 0
0.380234182 5.83635224E-3 0
0.39208886 6.01831358E-3 4.57944338E-42
0.404313117 6.20594807E-3 1.2540318E-39
0.416918486 6.39943266E-3 1.9980913E-37
0.429916888 6.5989499E-3 2.74080857E-34
0.443320513 6.80468697E-3 2.0085056E-31
0.457142055 7.01683853E-3 8.43937627E-29
0.471394479 7.23560434E-3 2.17235592E-26
0.486091286 7.46119069E-3 3.49876535E-24
0.501246274 7.69381039E-3 3.66522397E-22
0.516873777 7.93368276E-3 2.58802405E-20
0.532988489 8.18103272E-3 3.07600927E-25
0.549605608 8.4360959E-3 6.63018085E-30
0.566740811 8.69910978E-3 1.06060895E-27
0.58441025 8.97032488E-3 1.15570797E-25
0.602630556 9.24999453E-3 9.02749227E-24
0.621418953 9.53838415E-3 5.30418107E-22
0.640793085 9.83576477E-3 2.32399964E-20
0.66077131 1.01424176E-2 7.73904184E-19
0.681372344 1.04586305E-2 1.99435727E-17
0.702615678 1.07847024E-2 4.03414317E-16
0.724521339 1.11209396E-2 8.27335725E-16
0.74710989 1.14676598E-2 1.55367675E-15
0.770402789 1.18251909E-2 2.12598815E-14
0.794421852 1.21938679E-2 2.4055489E-13
0.819189727 1.25740394E-2 2.28560595E-12
0.844729841 1.29660638E-2 1.43737409E-11
0.871066213 1.337031E-2 2.04619238E-11
0.898223698 1.37871597E-2 3.55842404E-11
0.926227868 1.4217006E-2 2.23900357E-10
0.955105126 1.46602541E-2 1.23560462E-9
0.984882653 1.51173202E-2 6.03257355E-9
1.01558864 1.55886374E-2 2.60378492E-8
1.04725194 1.60746481E-2 1.00959227E-7
1.07990241 1.65758114E-2 3.51121002E-7
1.11357081 1.70926005E-2 1.11288773E-6
1.14828885 1.76255014E-2 3.28975739E-6
1.18408942 1.81750171E-2 8.96358597E-6
1.22100616 1.87416635E-2 2.26388365E-5
1.25907373 1.93259791E-2 5.3282587E-5
1.29832828 1.99285094E-2 8.91145246E-5
1.33880651 2.05498263E-2 1.42927878E-4
1.38054693 2.11905129E-2 2.90664175E-4
1.42358863 2.18511764E-2 5.59679233E-4
1.46797216 2.2532437E-2 1.02440419E-3
1.51373959 2.32349355E-2 1.78891385E-3
1.56093383 2.39593387E-2 2.93961028E-3
1.60959947 2.47063246E-2 4.6449597E-3
1.65978241 2.5476601E-2 7.20182247E-3
1.71152997 2.62708925E-2 1.07855946E-2
1.76489079 2.7089946E-2 1.56429876E-2
1.81991529 2.79345382E-2 1.85002927E-2
1.87665522 2.88054608E-2 2.15341393E-2
1.93516421 2.97035351E-2 2.94148158E-2
1.99549735 3.06296106E-2 3.9206814E-2
2.0577116 3.15845609E-2 5.10867536E-2
2.12186551 3.2569278E-2 6.51849508E-2
2.18801928 3.35847028E-2 8.1577152E-2
2.25623584 3.46317813E-2 0.100279555
2.32657909 3.57115045E-2 0.121247746
2.39911556 3.68248932E-2 0.144379601
2.47391343 3.79729904E-2 0.160515904
2.55104327 3.91568877E-2 0.176766783
2.6305778 4.03776914E-2 0.20381099
2.71259212 4.16365564E-2 0.23233822
2.79716349 4.2934671E-2 0.261851192
2.88437128 4.42732573E-2 0.292285919
2.97429824 4.56535779E-2 0.323674053
3.06702876 4.70769331E-2 0.355489284
3.16265035 4.85446639E-2 0.383926719
3.26125312 5.00581525E-2 0.411974549
3.36293006 5.16188294E-2 0.443524331
3.46777701 5.32281622E-2 0.474638104
3.57589293 5.48876747E-2 0.505137622
3.68737936 5.65989204E-2 0.534869611
3.80234194 5.83635196E-2 0.563704967
3.92088866 6.01831377E-2 0.591538548
4.04313135 6.20594844E-2 0.615321577
4.16918516 6.39943257E-2 0.637949526
4.29916906 6.59894943E-2 0.662585199
4.43320513 6.80468678E-2 0.686020613
4.57142067 7.01683834E-2 0.708242595
4.71394491 7.23560452E-2 0.729251504
4.8609128 7.46119097E-2 0.7490592
5.01246262 7.69381076E-2 0.767687023
5.16873789 7.9336822E-2 0.785164475
5.32988501 8.18103328E-2 0.801527381
5.49605608 8.43609571E-2 0.816816211
5.66740847 8.69911015E-2 0.831075311
5.84410238 8.9703247E-2 0.84435153
6.02630568 9.2499949E-2 0.856147826
6.21418953 9.53838453E-2 0.867084801
6.40793133 9.83576551E-2 0.877770901
6.60771275 0.101424173 0.887667239
6.81372356 0.104586303 0.896821737
7.0261569 0.10784702 0.855122805
7.24521303 0.1112094 0.818206787
7.47109938 0.114676602 0.831499875
7.70402765 0.118251905 0.843869865
7.94421816 0.121938676 0.855434
8.19189739 0.125740394 0.866308451
8.44729805 0.129660636 0.87493962
8.71066189 0.133703098 0.882960618
8.98223686 0.137871608 0.891942799
9.26227856 0.142170057 0.900293648
9.55105114 0.146602541 0.908049703
9.84882641 0.151173204 0.915246606
10.1558867 0.155886367 0.92191869
10.4725189 0.160746485 0.928099096
10.7990236 0.165758118 0.933819652
11.1357079 0.170926005 0.939110637
11.4828892 0.176255018 0.944001019
11.8408937 0.181750163 0.948518097
12.2100611 0.187416643 0.95268786
12.5907373 0.193259776 0.956534863
12.9832821 0.19928509 0.960082173
13.3880653 0.205498263 0.963351369
13.8054695 0.211905137 0.966362894
14.2358856 0.21851176 0.969135761
14.6797218 0.225324363 0.971687734
15.1373959 0.232349366 0.974035561
15.6093388 0.239593387 0.97619462
16.0959949 0.247063249 0.978179395
16.5978241 0.254766017 0.980003357
17.1152992 0.262708932 0.981678903
17.6489086 0.270899475 0.983217597
18.199152 0.279345363 0.984630287
18.766552 0.288054615 0.985926867
19.3516426 0.297035366 0.987116575
19.9549732 0.30629611 0.988207817
20.577116 0.315845579 0.989208639
21.2186546 0.325692803 0.990126193
21.8801937 0.33584702 0.990967274
22.5623589 0.346317798 0.991738021
23.2657909 0.35711506 0.992444217
23.9911556 0.36824891 0.993091106
24.7391338 0.379729927 0.993683517
25.5104332 0.391568869 0.994225979
26.3057785 0.403776914 0.994722605
27.1259212 0.416365594 0.99517715
27.9716339 0.42934671 0.995593131
28.8437138 0.442732573 0.995973766
29.742981 0.456535786 0.996321976
30.6702862 0.470769316 0.996640444
31.626503 0.485446632 0.996931732
32.6125298 0.500581503 0.997198045
33.6292992 0.516188323 0.99744153
34.6777687 0.532281637 0.997664094
35.7589302 0.548876703 0.997867525
36.8737946 0.565989196 0.998053432
38.0234184 0.583635211 0.998223305
39.2088852 0.601831377 0.998378515
40.4313126 0.6205948 0.998520255
41.6918488 0.639943302 0.998649776
42.9916878 0.659894943 0.998768032
44.3320503 0.680468678 0.998875976
45.7142029 0.701683879 0.998974562
47.1394501 0.723560452 0.999064624
48.609127 0.746119082 0.99914676
50.12463 0.769381046 0.999221742
