E + GRAIN0 -> GRAIN-
C+ + C2S -> C2S+ + C
C+ + C2S -> C3+ + S
C+ + CCO -> C2O+ + C
C+ + CCP -> CP+ + C2
C+ + CCP -> CCP+ + C
C+ + CH2 -> C2H+ + H
C+ + CH2 -> CH2+ + C
C+ + CO2 -> CO+ + CO
C+ + H2O -> HCO+ + H
C+ + H2O -> HOC+ + H
C+ + H2S -> H2S+ + C
C+ + H2S -> HCS+ + H
C+ + HCN -> C2N+ + H
C+ + HCN -> CNC+ + H
C+ + HCO -> CH+ + CO
C+ + HCO -> HCO+ + C
C+ + HCP -> CCP+ + H
C+ + HCP -> HCP+ + C
C+ + HCSI -> SIC2+ + H
C+ + HNC -> C2N+ + H
C+ + HNSI -> SINC+ + H
C+ + HPO -> HPO+ + C
C+ + NAOH -> HCO+ + NA
C+ + NH2 -> HCN+ + H
C+ + OCN -> CO+ + CN
C+ + OCS -> CS+ + CO
C+ + OCS -> OCS+ + C
C+ + SIC2 -> SIC2+ + C
C+ + SIH2 -> SIC+ + H2
C+ + SIH2 -> CHSI+ + H
C+ + SIH2 -> SIH2+ + C
C+ + SO2 -> SO+ + CO
C+ + C2H2 -> C3H+ + H
C+ + C3H -> C4+ + H
C+ + HC3 -> C4+ + H
C+ + C3O -> C3+ + CO
C+ + C3O -> C3O+ + C
C+ + C3O -> C4+ + O
C+ + C3P -> C4+ + P
C+ + C3S -> C3S+ + C
C+ + C3S -> C4+ + S
C+ + CH3 -> C2H+ + H2
C+ + CH3 -> C2H2+ + H
C+ + CH3 -> CH3+ + C
C+ + H2CO -> CH2+ + CO
C+ + H2CO -> HCO+ + CH
C+ + H2CO -> H2CO+ + C
C+ + H2CS -> CH2+ + CS
C+ + H2SIO -> H2SIO+ + C
C+ + HCCP -> CP+ + C2H
C+ + HCCP -> CCP+ + CH
C+ + NH3 -> HCN+ + H2
C+ + NH3 -> HCNH+ + H
C+ + NH3 -> NH3+ + C
C+ + SIC2H -> SIC2H+ + C
C+ + SIC2H -> SIC3+ + H
C+ + SIC3 -> SIC3+ + C
C+ + SICH2 -> SIC2+ + H2
C+ + SICH2 -> CH2SI+ + C
C+ + SICH2 -> SIC2H+ + H
C+ + SIH3 -> CHSI+ + H2
C+ + SIH3 -> CH2SI+ + H
C+ + SIH3 -> SIH3+ + C
C+ + C2H2N -> C2H2N+ + C
C+ + C2H2O -> C2H2O+ + C
C+ + C2H3 -> C3H+ + H2
C+ + C2H3 -> C2H3+ + C
C+ + C2H3 -> C3H2+ + H
C+ + C2H3 -> H2C3+ + H
C+ + C3H2 -> C4+ + H2
C+ + H2C3 -> C4+ + H2
C+ + C3H2 -> C4H+ + H
C+ + H2C3 -> C4H+ + H
C+ + C4H -> C5+ + H
C+ + C4P -> C5+ + P
C+ + C4S -> C4S+ + C
C+ + C4S -> C5+ + S
C+ + CH2PH -> PC2H+ + H2
C+ + CH3N -> C2H2N+ + H
C+ + CH4 -> C2H2+ + H2
C+ + CH4 -> C2H3+ + H
C+ + HCNC2 -> C3N+ + CH
C+ + HCNC2 -> C2H+ + C2N
C+ + HCNC2 -> HCN+ + C3
C+ + HCNC2 -> C4N+ + H
C+ + HCNC2 -> C2N+ + C2H
C+ + HC2NC -> C3H+ + CN
C+ + HC2NC -> C2H+ + C2N
C+ + HC2NC -> CNC+ + C2H
C+ + HC2NC -> C4N+ + H
C+ + HC2NC -> C3HN+ + C
C+ + HC3N -> C3+ + HCN
C+ + HC3N -> C3H+ + CN
C+ + HC3N -> C4N+ + H
C+ + HNC3 -> C3+ + HNC
C+ + HNC3 -> HNC+ + C3
C+ + HNC3 -> C3N+ + CH
C+ + HNC3 -> C4N+ + H
C+ + SIC2H2 -> SIC3H+ + H
C+ + SIC3H -> SIC4+ + H
C+ + SICH3 -> SIC2H+ + H2
C+ + SICH3 -> SIC2H2+ + H
C+ + SICH3 -> SICH3+ + C
C+ + SIH4 -> CH2SI+ + H2
C+ + SIH4 -> SICH3+ + H
C+ + C2H3N -> C2H3+ + CN
C+ + C2H3N -> HC2NCH+ + H
C+ + C2H4 -> C3H+ + H2 + H
C+ + C2H4 -> C2H3+ + CH
C+ + C2H4 -> C3H2+ + H2
C+ + C2H4 -> H2C3+ + H2
C+ + C2H4 -> C2H4+ + C
C+ + C2H4 -> C3H3+ + H
C+ + C3H3 -> C4H+ + H2
C+ + C3H3 -> C3H3+ + C
C+ + C3H3 -> H3C3+ + C
C+ + C3H3 -> C4H2+ + H
C+ + C4H2 -> C3H+ + C2H
C+ + C4H2 -> C5+ + H2
C+ + C4H2 -> C4H2+ + C
C+ + C4H2 -> C5H+ + H
C+ + C5H -> C6+ + H
C+ + CH3OH -> CH3+ + HCO
C+ + CH3OH -> H3CO+ + CH
C+ + CH3OH -> CH4O+ + C
C+ + NH2CHO -> C2H3O+ + N
C+ + NH2CHO -> H3CO+ + CN
C+ + NH2CHO -> H2CO+ + HCN
C+ + NH2CHO -> HCN+ + H2CO
C+ + NH2CHO -> C2H2N+ + OH
C+ + NH2CHO -> C2H3N+ + O
C+ + C2H4O -> C2H3O+ + CH
C+ + C2H4O -> C2H4O+ + C
C+ + C2H5 -> C3H3+ + H2
C+ + C2H5 -> H3C3+ + H2
C+ + C2H5 -> C2H5+ + C
C+ + C3H3N -> C3H3N+ + C
C+ + C3H4 -> C2H2+ + C2H2
C+ + C3H4 -> C2H3+ + C2H
C+ + C3H4 -> C3H3+ + CH
C+ + C3H4 -> H3C3+ + CH
C+ + C3H4 -> C4H2+ + H2
C+ + C3H4 -> C3H4+ + C
C+ + C4H3 -> C5H2+ + H
C+ + C4H3 -> C5H+ + H2
C+ + C4H3 -> C4H3+ + C
C+ + C4H3 -> C3H2+ + C2H
C+ + C4H3 -> H2C3+ + C2H
C+ + C5H2 -> C6+ + H2
C+ + C5H2 -> C6H+ + H
C+ + C6H -> C7+ + H
