#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)       
1.000000e-07 2.521383e+13 7.534000e-05 1.564000e-13 0.000000e+00 
1.000000e-07 2.671947e+13 8.007000e-05 1.957000e-13 0.000000e+00 
1.000000e-07 2.830901e+13 8.336000e-05 2.471000e-13 0.000000e+00 
1.000000e-07 2.997925e+13 8.836000e-05 3.109000e-13 0.000000e+00 
1.000000e-07 3.175431e+13 9.411000e-05 3.914000e-13 0.000000e+00 
1.000000e-07 3.363542e+13 1.010000e-04 4.925000e-13 0.000000e+00 
1.000000e-07 3.563019e+13 1.089000e-04 6.196000e-13 0.000000e+00 
1.000000e-07 3.774298e+13 1.178000e-04 7.792000e-13 0.000000e+00 
1.000000e-07 3.997766e+13 1.274000e-04 9.797000e-13 0.000000e+00 
1.000000e-07 4.234955e+13 1.385000e-04 1.232000e-12 0.000000e+00 
1.000000e-07 4.485896e+13 1.509000e-04 1.549000e-12 0.000000e+00 
1.000000e-07 4.751069e+13 1.624000e-04 1.946000e-12 0.000000e+00 
1.000000e-07 5.032608e+13 1.801000e-04 2.447000e-12 5.740000e-07 
1.000000e-07 5.331539e+13 1.971000e-04 3.074000e-12 6.400000e-07 
1.000000e-07 5.646872e+13 2.161000e-04 3.861000e-12 7.120000e-07 
1.000000e-07 5.981494e+13 2.367000e-04 4.848000e-12 7.940000e-07 
1.000000e-07 6.335428e+13 2.588000e-04 6.087000e-12 8.850000e-07 
1.000000e-07 6.711271e+13 2.832000e-04 7.643000e-12 9.840000e-07 
1.000000e-07 7.109141e+13 3.100000e-04 9.592000e-12 1.090000e-06 
1.000000e-07 7.530582e+13 3.393000e-04 1.204000e-11 1.210000e-06 
1.000000e-07 7.977447e+13 3.714000e-04 1.510000e-11 1.350000e-06 
1.000000e-07 8.449618e+13 4.067000e-04 1.895000e-11 1.490000e-06 
1.000000e-07 8.949029e+13 4.456000e-04 2.378000e-11 1.640000e-06 
1.000000e-07 9.481102e+13 4.871000e-04 2.982000e-11 1.820000e-06 
1.000000e-07 1.004330e+14 5.342000e-04 3.740000e-11 2.010000e-06 
1.000000e-07 1.063848e+14 5.849000e-04 4.689000e-11 2.220000e-06 
1.000000e-07 1.126616e+14 6.400000e-04 5.878000e-11 2.450000e-06 
1.000000e-07 1.193441e+14 6.993000e-04 7.365000e-11 2.720000e-06 
1.000000e-07 1.264414e+14 7.639000e-04 9.229000e-11 3.010000e-06 
1.000000e-07 1.338957e+14 8.347000e-04 1.157000e-10 3.320000e-06 
1.000000e-07 1.418800e+14 9.125000e-04 1.449000e-10 3.660000e-06 
1.000000e-07 1.502719e+14 9.963000e-04 1.816000e-10 4.040000e-06 
1.000000e-07 1.591255e+14 1.088000e-03 2.275000e-10 4.460000e-06 
1.000000e-07 1.686122e+14 1.190000e-03 2.851000e-10 4.910000e-06 
1.000000e-07 1.785542e+14 1.301000e-03 3.571000e-10 5.410000e-06 
1.000000e-07 1.891435e+14 1.420000e-03 4.471000e-10 5.970000e-06 
1.000000e-07 2.003960e+14 1.550000e-03 5.601000e-10 6.590000e-06 
1.000000e-07 2.121673e+14 1.695000e-03 7.019000e-10 7.250000e-06 
1.000000e-07 2.247320e+14 1.857000e-03 8.793000e-10 7.960000e-06 
1.000000e-07 2.381195e+14 2.033000e-03 1.101000e-09 8.760000e-06 
1.000000e-07 2.521383e+14 2.224000e-03 1.379000e-09 9.650000e-06 
1.000000e-07 2.671947e+14 2.435000e-03 1.727000e-09 1.060000e-05 
1.000000e-07 2.830901e+14 2.672000e-03 2.163000e-09 1.170000e-05 
1.000000e-07 2.997925e+14 2.934000e-03 2.707000e-09 1.280000e-05 
1.000000e-07 3.175431e+14 3.221000e-03 3.387000e-09 1.410000e-05 
1.000000e-07 3.363542e+14 3.533000e-03 4.236000e-09 1.550000e-05 
1.000000e-07 3.563019e+14 3.871000e-03 5.295000e-09 1.720000e-05 
1.000000e-07 3.774298e+14 4.236000e-03 6.616000e-09 1.900000e-05 
1.000000e-07 3.997766e+14 4.628000e-03 8.265000e-09 2.110000e-05 
1.000000e-07 4.234955e+14 5.049000e-03 1.032000e-08 2.340000e-05 
1.000000e-07 4.485896e+14 5.498000e-03 1.290000e-08 2.610000e-05 
1.000000e-07 4.751069e+14 5.974000e-03 1.614000e-08 2.910000e-05 
1.000000e-07 5.032608e+14 6.495000e-03 2.022000e-08 3.250000e-05 
1.000000e-07 5.331539e+14 7.074000e-03 2.536000e-08 3.630000e-05 
1.000000e-07 5.646872e+14 7.719000e-03 3.190000e-08 4.040000e-05 
1.000000e-07 5.981494e+14 8.446000e-03 4.024000e-08 4.500000e-05 
1.000000e-07 6.335428e+14 9.291000e-03 5.087000e-08 5.000000e-05 
1.000000e-07 6.711271e+14 1.031000e-02 6.442000e-08 5.530000e-05 
1.000000e-07 7.109141e+14 1.152000e-02 8.168000e-08 6.060000e-05 
1.000000e-07 7.530582e+14 1.284000e-02 1.036000e-07 6.610000e-05 
1.000000e-07 7.977447e+14 1.421000e-02 1.316000e-07 7.170000e-05 
1.000000e-07 8.449618e+14 1.566000e-02 1.684000e-07 7.760000e-05 
1.000000e-07 8.949029e+14 1.740000e-02 2.183000e-07 8.250000e-05 
1.000000e-07 9.481102e+14 1.975000e-02 2.878000e-07 8.310000e-05 
1.000000e-07 1.004330e+15 2.285000e-02 3.843000e-07 7.570000e-05 
1.000000e-07 1.063848e+15 2.672000e-02 5.265000e-07 5.480000e-05 
1.000000e-07 1.126616e+15 3.232000e-02 7.503000e-07 2.340000e-05 
1.000000e-07 1.193441e+15 4.165000e-02 1.135000e-06 6.170000e-06 
